toxic_mode,phase,display_order,neglog_critical_burden_mol_kg,critical_burden_mol_kg,critical_burden_mmol_kg,n_evaluation,rmse_evaluation_log_unit,n_validation,rmse_validation_log_unit,calculator_status,evidence_tier
baseline,phospholipid,1,0.9644300000000001,0.10853504733626593,108.53504733626593,115,0.3233622483913254,132,0.4190106630258187,supported,reference
baseline,octanol,2,0.8834430000000002,0.13078471791331708,130.78471791331708,115,0.3938930053628112,132,0.45788056380547987,supported,reference
baseline,PDMS,3,1.4365611,0.036596445014812934,36.596445014812936,115,0.5375981144592363,132,1.107547488798689,supported,paper_validated
baseline,PA,4,1.2896473333333303,0.05132780196593475,51.327801965934746,115,0.31054190756151073,132,0.4531326215235389,supported,paper_validated
baseline,POM,5,1.716682,0.01920074146719083,19.20074146719083,115,0.3432582291620233,132,0.4851380730603332,supported,paper_validated
baseline,PE,6,1.6028438,0.02495492103708058,24.95492103708058,115,0.4888620478028462,132,0.9288203468664491,supported,paper_validated
baseline,PU,7,3.781177150847691,0.0001655094704516409,0.1655094704516409,115,0.4154929906181866,132,0.7560446037038797,supported,paper_validated
less_inert,phospholipid,1,1.33463666666667,0.04627680139552834,46.27680139552834,73,0.4023272940276582,128,0.4635768262433519,supported_with_caution,reference
less_inert,octanol,2,1.380293,0.0416588234292856,41.6588234292856,73,0.5660204423759212,128,0.43891589203165177,supported_with_caution,reference
less_inert,PDMS,3,3.0661561000000006,0.0008587048187228405,0.8587048187228404,73,0.6972024946769351,128,1.1044602725063561,supported_with_caution,paper_validated
less_inert,PA,4,1.5747480000000005,0.026622693973640574,26.622693973640573,73,0.38885953999962036,128,0.5552640732527637,supported_with_caution,paper_validated
less_inert,POM,5,2.16125733333333,0.006898309358853262,6.898309358853262,73,0.34736438351145993,128,0.6402141921224708,supported_with_caution,paper_validated
less_inert,PE,6,2.7957993356203295,0.001600297270067045,1.600297270067045,73,0.5575024216521796,128,0.8659026006718251,supported_with_caution,paper_validated
less_inert,PU,7,4.355017999999999,4.415521461690436e-05,0.04415521461690436,73,0.4634928362996401,128,0.6964036509615018,supported_with_caution,paper_validated
reactive,phospholipid,1,2.98784190589485,0.0010283905900145371,1.0283905900145371,75,1.010078770978818,0,,not_supported,reference
reactive,octanol,2,3.050965,0.0008892727818889815,0.8892727818889815,75,1.062953843763572,0,,not_supported,reference
reactive,PDMS,3,4.0631743,8.646208417007286e-05,0.08646208417007287,75,1.3859111401806603,0,,not_supported,out_of_domain
reactive,PA,4,3.168736,0.0006780535592271908,0.6780535592271908,75,1.0733665909417676,0,,not_supported,out_of_domain
reactive,POM,5,3.504596,0.00031289887378821516,0.3128988737882152,75,1.092140659140023,0,,not_supported,out_of_domain
reactive,PE,6,4.0534833,8.841311661938123e-05,0.08841311661938124,75,1.2058517937345847,0,,not_supported,out_of_domain
reactive,PU,7,5.99954422394158,1.0010500140370132e-06,0.0010010500140370132,75,1.2025296149033808,0,,not_supported,out_of_domain
