plastic,name,casrn,smiles,ecosar_class,experimental_or_reference_neglog_lc50,log_kow_epi,abraham_e,abraham_s,abraham_a,abraham_b,abraham_v,abraham_l,literature,log_k_plastic_water,prediction_asm_neglog_lc50,prediction_ecosar_neglog_lc50,prediction_bl_neglog_lc50,prediction_lim_neglog_lc50,neglog_critical_burden_mol_kg,prediction_tpm_median_neglog_lc50,evidence_tier
Polypropylene,Phenanthrene,85-01-8,c1ccc2c(c1)c1ccccc1cc2,Neutral Organics,5.10484984735857,4.46,2.06,1.29,0.0,0.26,1.4544,7.632,LSER Dataset for CompTox users (2017),3.17,5.604568799999999,5.1914417555923675,5.09818,5.34548,2.434568799999999,5.3599426,exploratory
Polypropylene,PCB 28,7012-37-5,Clc1ccc(cc1)c1ccc(cc1Cl)Cl,Neutral Organics,,5.62,1.76,1.33,0.0,0.15,1.6914,7.904,LSER Dataset for CompTox users (2017),4.92,6.6653778,6.398024329511426,6.12246,6.08556,1.7453778,7.1099426,exploratory
Polypropylene,PCB 52,35693-99-3,Clc1ccc(cc1c1cc(Cl)ccc1Cl)Cl,Neutral Organics,,6.09,1.9,1.48,0.0,0.15,1.8138,8.144,LSER Dataset for CompTox users (2017),4.92,7.1099426,6.974006284260768,6.53747,6.38542,2.1899426,7.1099426,exploratory
Polypropylene,PCB 44,41464-39-5,Clc1ccc(c(c1)c1cccc(c1Cl)Cl)Cl,Neutral Organics,,5.81,1.9,1.48,0.0,0.15,1.8138,8.312,LSER Dataset for CompTox users (2017),4.97,7.1099426,6.974006284260768,6.29023,6.20678,2.1399426000000004,7.1599426,exploratory
Polypropylene,PCB 118,31508-00-6,Clc1cc(Cl)c(cc1c1ccc(c(c1)Cl)Cl)Cl,Neutral Organics,,7.12,2.06,1.59,0.0,0.11,1.9362,9.396,LSER Dataset for CompTox users (2017),5.54,7.713107399999999,7.559560859744569,7.446960000000001,7.04256,2.1731073999999992,7.7299426,exploratory
Polypropylene,PCB 105,32598-14-4,Clc1ccc(cc1Cl)c1ccc(c(c1Cl)Cl)Cl,Neutral Organics,,6.79,2.04,1.59,0.0,0.11,1.9362,9.594,LSER Dataset for CompTox users (2017),5.6,7.7047474,7.559560859744569,7.15557,6.83202,2.1047474,7.7899426,exploratory
Polypropylene,PCB 187,52663-68-0,Clc1cc(Cl)c(cc1c1c(Cl)c(Cl)cc(c1Cl)Cl)Cl,Neutral Organics,,8.27,2.31,1.87,0.0,0.09,2.181,9.864,LSER Dataset for CompTox users (2017),5.56,8.664817,8.715004801111368,8.46241,7.77626,3.1048169999999997,7.7499426,exploratory
Polypropylene,PCB 128,38380-07-3,Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,Neutral Organics,,7.31,2.18,1.74,0.0,0.11,2.0586,9.957,LSER Dataset for CompTox users (2017),5.28,8.1493122,8.080241559369991,7.61473,7.16378,2.8693122000000004,7.4699426,exploratory
Polypropylene,"p,p'-DDE",72-55-9,ClC(=C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)Cl,Vinyl/Allyl Halides,,6.51,1.8,1.4,0.06,0.14,2.0526,9.73,,5.27,7.9498902000000005,7.356340053551252,6.90833,6.65338,2.679890200000001,7.4599426,exploratory
Polystyrene,4-Nonylphenol,104-40-5,CCCCCCCCCc1ccc(cc1)O,Phenols,6.1985,5.76,0.77,0.88,0.55,0.36,2.0432,8.354,,4.74,7.0002964,6.7868302629339965,6.24608,6.17488,2.2602963999999997,9.7531998,exploratory
Polystyrene,PCB 31,16606-02-3,Clc1ccc(cc1)c1cc(Cl)ccc1Cl,Neutral Organics,,5.69,1.77,1.33,0.0,0.15,1.6914,7.862,LSER Dataset for CompTox users (2017),2.49,6.6695578,6.398024329511426,6.184270000000001,6.1302200000000004,4.1795577999999995,7.503199800000001,exploratory
Polystyrene,PCB 47,2437-79-8,Clc1ccc(c(c1)Cl)c1ccc(cc1Cl)Cl,Neutral Organics,,6.29,1.88,1.48,0.0,0.15,1.8138,8.227,LSER Dataset for CompTox users (2017),2.61,7.1015825999999995,6.974006284260768,6.71407,6.51302,4.491582599999999,7.6231998,exploratory
Polystyrene,PCB 103,60145-21-3,Clc1ccc(c(c1)c1c(Cl)cc(cc1Cl)Cl)Cl,Neutral Organics,,6.98,2.01,1.61,0.0,0.13,1.9362,8.429,LSER Dataset for CompTox users (2017),2.61,7.617087399999999,7.559560859744569,7.323340000000001,6.95324,5.0070874,7.6231998,exploratory
Polystyrene,PCB 128,38380-07-3,Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,Neutral Organics,,7.31,2.18,1.74,0.0,0.11,2.0586,9.957,LSER Dataset for CompTox users (2017),3.13,8.1493122,8.080241559369991,7.61473,7.16378,5.019312200000001,8.143199800000001,exploratory
Polystyrene,PCB 171,52663-71-5,Clc1c(Cl)cc(c(c1Cl)c1ccc(c(c1Cl)Cl)Cl)Cl,Neutral Organics,,8.27,2.3,1.87,0.0,0.09,2.181,10.031,LSER Dataset for CompTox users (2017),2.88,8.660637,8.715004801111368,8.46241,7.77626,5.780637,7.8931998000000005,exploratory
Polystyrene,PCB 200,52663-73-7,Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)c1c(Cl)ccc(c1Cl)Cl,Neutral Organics,,8.91,2.43,2.0,0.0,0.06,2.3034,10.41,LSER Dataset for CompTox users (2017),2.63,9.2118818,9.294779602778405,9.02753,8.18458,6.581881800000001,7.6431998000000005,exploratory
Polystyrene,PCB 206,40186-72-9,Clc1cc(c(c(c1Cl)Cl)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,Neutral Organics,,9.14,2.6,2.13,0.0,0.04,2.4258,11.45,LSER Dataset for CompTox users (2017),2.11,9.7441066,9.872933462550424,9.23062,8.331320000000002,7.634106600000001,7.1231998,exploratory
Polyvinyl Chloride,PCB 209,2051-24-3,Clc1c(c2c(Cl)c(Cl)c(c(c2Cl)Cl)Cl)c(Cl)c(c(c1Cl)Cl)Cl,Neutral Organics,,8.27,2.72,2.26,0.0,0.02,2.5482,11.703,LSER Dataset for CompTox users (2017),2.01,10.255431399999999,10.452291864879857,8.46241,7.77626,8.2454314,4.7133117,exploratory
Polyvinyl Chloride,PCB 31,16606-02-3,Clc1ccc(cc1)c1cc(Cl)ccc1Cl,Neutral Organics,,5.69,1.77,1.33,0.0,0.15,1.6914,7.862,LSER Dataset for CompTox users (2017),3.84,6.6695578,6.398024329511426,6.184270000000001,6.1302200000000004,2.8295578,6.5433117,exploratory
Polyvinyl Chloride,PCB 47,2437-79-8,Clc1ccc(c(c1)Cl)c1ccc(cc1Cl)Cl,Neutral Organics,,6.29,1.88,1.48,0.0,0.15,1.8138,8.227,LSER Dataset for CompTox users (2017),3.51,7.1015825999999995,6.974006284260768,6.71407,6.51302,3.5915825999999997,6.2133117,exploratory
Polyvinyl Chloride,PCB 103,60145-21-3,Clc1ccc(c(c1)c1c(Cl)cc(cc1Cl)Cl)Cl,Neutral Organics,,6.98,2.01,1.61,0.0,0.13,1.9362,8.429,LSER Dataset for CompTox users (2017),3.66,7.617087399999999,7.559560859744569,7.323340000000001,6.95324,3.957087399999999,6.363311700000001,exploratory
Polyvinyl Chloride,PCB 128,38380-07-3,Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,Neutral Organics,,7.31,2.18,1.74,0.0,0.11,2.0586,9.957,LSER Dataset for CompTox users (2017),2.86,8.1493122,8.080241559369991,7.61473,7.16378,5.289312200000001,5.5633117,exploratory
Polyvinyl Chloride,PCB 171,52663-71-5,Clc1c(Cl)cc(c(c1Cl)c1ccc(c(c1Cl)Cl)Cl)Cl,Neutral Organics,,8.27,2.3,1.87,0.0,0.09,2.181,10.031,LSER Dataset for CompTox users (2017),2.74,8.660637,8.715004801111368,8.46241,7.77626,5.920636999999999,5.443311700000001,exploratory
Polyvinyl Chloride,PCB 200,52663-73-7,Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)c1c(Cl)ccc(c1Cl)Cl,Neutral Organics,,8.91,2.43,2.0,0.0,0.06,2.3034,10.41,LSER Dataset for CompTox users (2017),2.47,9.2118818,9.294779602778405,9.02753,8.18458,6.7418818,5.1733117,exploratory
Polyvinyl Chloride,DDT,50-29-3,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,Neutral Organics,,6.91,1.81,1.76,0.0,0.16,2.218,10.02,LSER Dataset for CompTox users (2017),4.85,8.350605999999999,7.403475952765883,7.2615300000000005,6.908580000000001,3.5006059999999994,7.5533117,exploratory
Polyvinyl Chloride,di(2-ethylhexyl) phthalate,117-81-7,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,Esters,3.7166204939538,7.6,0.64,1.25,0.0,1.02,3.4014,12.7,,3.9,8.877067799999999,7.591698881719829,7.8708,7.3488,4.977067799999999,6.6033117,exploratory
Polyvinyl Chloride,Phenanthrene,85-01-8,c1ccc2c(c1)c1ccccc1cc2,Neutral Organics,5.10484984735857,4.46,2.06,1.29,0.0,0.26,1.4544,7.632,LSER Dataset for CompTox users (2017),3.18,5.604568799999999,5.1914417555923675,5.09818,5.34548,2.424568799999999,5.8833117,exploratory
